0	[1, 3.2466399675831252];[5, 3.2466399675831252];[6, 15.930907124260383];[22, 6.4932799351662505];[23, 3.2466399675831252];[54, 9.739919902749376];[74, 3.2466399675831252];[91, 3.2466399675831252];[94, 3.2466399675831252];[99, 3.2466399675831252];[103, 3.2466399675831252];[115, 3.2466399675831252];[121, 3.2466399675831252];[133, 9.739919902749376];[145, 3.2466399675831252];[159, 3.2466399675831252];[177, 9.739919902749376];[182, 3.2466399675831252];[184, 3.2466399675831252];[192, 6.4932799351662505];[193, 8.392442569544928];[204, 11.639082537128054];[219, 3.2466399675831252];[221, 6.4932799351662505];[226, 3.2466399675831252];[236, 3.2466399675831252];[243, 3.2466399675831252];[245, 3.2466399675831252];[261, 3.2466399675831252];[262, 6.4932799351662505];[267, 9.739919902749376];[280, 3.2466399675831252];[281, 3.2466399675831252];[303, 8.392442569544928];[305, 6.4932799351662505];[322, 3.2466399675831252];[323, 9.739919902749376];[326, 8.392442569544928];[328, 3.2466399675831252];[336, 6.4932799351662505];[338, 3.2466399675831252];[365, 3.2466399675831252];[370, 3.2466399675831252];[393, 3.2466399675831252];[400, 3.2466399675831252];[402, 3.2466399675831252];[415, 3.2466399675831252];[425, 14.031744489881705];[433, 3.2466399675831252];[435, 3.2466399675831252];[452, 6.4932799351662505];[456, 3.2466399675831252];[468, 3.2466399675831252];[470, 3.2466399675831252];[474, 3.2466399675831252];[483, 8.392442569544928];[484, 8.392442569544928];[487, 6.4932799351662505];[496, 1.0];
00	[23, 6.980139577639157];[74, 6.980139577639157];[178, 6.980139577639157];[334, 1.0];
000	[7, 2.3059360621194616];[10, 5.960758249639419];[11, 5.960758249639419];[13, 9.223744248477846];[19, 2.3059360621194616];[24, 8.77951701606066];[37, 6.917808186358385];[38, 5.960758249639419];[40, 2.3059360621194616];[41, 5.960758249639419];[46, 2.3059360621194616];[57, 2.3059360621194616];[65, 8.26669431175888];[66, 8.26669431175888];[69, 2.3059360621194616];[70, 2.3059360621194616];[74, 4.611872124238923];[78, 6.917808186358385];[90, 5.960758249639419];[91, 2.3059360621194616];[92, 8.26669431175888];[107, 4.611872124238923];[109, 4.611872124238923];[111, 2.3059360621194616];[115, 6.917808186358385];[117, 2.3059360621194616];[120, 8.26669431175888];[122, 9.223744248477846];[129, 4.611872124238923];[130, 4.611872124238923];[140, 6.917808186358385];[151, 2.3059360621194616];[152, 4.611872124238923];[158, 2.3059360621194616];[159, 8.26669431175888];[164, 5.960758249639419];[167, 8.26669431175888];[168, 6.917808186358385];[176, 2.3059360621194616];[182, 5.960758249639419];[184, 6.917808186358385];[186, 6.917808186358385];[187, 2.3059360621194616];[192, 2.3059360621194616];[196, 2.3059360621194616];[197, 2.3059360621194616];[199, 8.26669431175888];[200, 2.3059360621194616];[205, 2.3059360621194616];[206, 2.3059360621194616];[209, 2.3059360621194616];[211, 2.3059360621194616];[213, 2.3059360621194616];[219, 2.3059360621194616];[221, 9.615580437159375];[222, 4.611872124238923];[225, 4.611872124238923];[229, 2.3059360621194616];[233, 4.611872124238923];[240, 6.917808186358385];[250, 6.917808186358385];[252, 4.611872124238923];[256, 2.3059360621194616];[257, 4.611872124238923];[261, 2.3059360621194616];[262, 4.611872124238923];[263, 2.3059360621194616];[265, 2.3059360621194616];[266, 2.3059360621194616];[275, 8.26669431175888];[276, 4.611872124238923];[280, 6.917808186358385];[282, 2.3059360621194616];[288, 5.960758249639419];[289, 2.3059360621194616];[293, 4.611872124238923];[297, 4.611872124238923];[298, 2.3059360621194616];[310, 2.3059360621194616];[311, 2.3059360621194616];[314, 2.3059360621194616];[316, 6.917808186358385];[317, 4.611872124238923];[320, 2.3059360621194616];[327, 5.960758249639419];[332, 5.960758249639419];[333, 4.611872124238923];[335, 8.26669431175888];[336, 7.660153789768569];[339, 4.611872124238923];[342, 4.611872124238923];[343, 9.615580437159375];[346, 2.3059360621194616];[348, 5.960758249639419];[349, 2.3059360621194616];[363, 6.917808186358385];[365, 6.917808186358385];[370, 6.917808186358385];[374, 4.611872124238923];[376, 4.611872124238923];[378, 2.3059360621194616];[383, 4.611872124238923];[386, 2.3059360621194616];[394, 2.3059360621194616];[395, 2.3059360621194616];[396, 4.611872124238923];[406, 4.611872124238923];[412, 4.611872124238923];[415, 6.917808186358385];[417, 8.77951701606066];[421, 4.611872124238923];[432, 6.917808186358385];[433, 4.611872124238923];[434, 2.3059360621194616];[435, 2.3059360621194616];[436, 4.611872124238923];[437, 4.611872124238923];[438, 7.660153789768569];[439, 2.3059360621194616];[442, 9.223744248477846];[444, 6.917808186358385];[466, 4.611872124238923];[472, 2.3059360621194616];[474, 4.611872124238923];[476, 2.3059360621194616];[478, 4.611872124238923];[482, 4.0];
0000	[41, 7.974414589805527];[167, 1.0];
001	[46, 7.974414589805527];[203, 1.0];
002	[394, 1.0];
003	[366, 1.0];
004	[65, 1.0];
005	[219, 1.0];
0053	[166, 1.0];
